"division","gender","belt","weight","rank","Name","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class."
"Master 1","Male","PURPLE","Feather",12,"Pedro Henrique Vilhena Duarte","Atos Jiu-Jitsu",0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",13,"Karimibn Abdullah Sabree","Atos Jiu-Jitsu",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",14,"Daniel Timothy Cockerill II","Charlotte Jiu-Jitsu Academy",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",15,"Landon Reese Yoshimura","Nova União",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",16,"Everett Welch","BJJ Revolution Team",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",17,"Christopher Raywat Durso","Baret Submissions USA",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",18,"Brian Andres Ocon","Six Blades Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",19,"Tomás Andrés Baeza Macias","Cohab Chile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",20,"Sean Michael Willick","GF Team International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",21,"Sean Goodspeed Paul","GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",22,"Ryan Vincent Willard","Badger Style BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",23,"Rubi Nguyen Ngo","CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",24,"Pedro Braga Palmier","R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",25,"Paul Elizondo Jr","R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",26,"Micah Edwin Johnson","Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",27,"Luke Aaron Molino","British Army BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",28,"Logan Anderson","Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",29,"Leonardo Garcia Dias","Art of Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",30,"Kyle Robert Shea","Subconscious BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",31,"Joseph Mark Horton","Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",32,"Jose Serral","Association Aranha",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",33,"Jose Alberto Marquez","Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",34,"John Michael Labrada","Kiko France BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",35,"Jaison Nicholas Poole","Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",36,"Icaro Guimarães","Atos JJ USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",37,"Guillaume Prada","Barbosa Jiu-Jitsu Paris",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",38,"Eric Man Kwan","Undisputed Tucson",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",39,"Eduardo De la Torre","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",40,"Eder Aldair Gomez","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",41,"Devin Tyler DeMello","Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",42,"Derriel Madriaga Bantolina","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",43,"Christopher Alan Roy","CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",44,"Cecilio Ernesto Zarate","GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",45,"Brett Kai Wegner","Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",46,"Andrew be","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",47,"Alejandro Castillo Reyes","Daniri Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",1,"Roothchild St Germain","Cicero Costha Internacional",132,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",2,"Michael Rosenberg","EJD - RGT",60,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",3,"Benjamin Taylor Bieker","R1NG BJJ",38,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",4,"Gedielson Fernandes Rodrigues","Zenith BJJ",18,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",5,"Chad Edward Myers","Armyfighter Combatives",12,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",6,"Marcos Gonzalez Rubio Curi de Castro","Alliance",12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",7,"Raphael Vieira Ultra Carneiro","Alliance International",0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",8,"Corey James Stockton","Paragon Brazilian Jiu Jitsu Austin",0,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",9,"Mathaeus Christian Myga","Sim Go Academy",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",10,"Andrew McGahon","ACTJJ International",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",11,"Zachary Ryan Levitetz","Winners Training Center",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",12,"Mark L Wilson Jr","Lotus Club USA",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",13,"Timothy Michael McNamara","Renzo Gracie Academy",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",14,"Jose Alejandro A Neri","Six Blades Jiu-Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",15,"Daniel Nicolas Oddone","GF Team",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",16,"Cheyenne Lee Childress","MidSouth Elite BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",17,"Pedro Eduardo Hermosa Jr","Pablo Silva BJJ",0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",18,"Robert Chao","Milestone Martial Arts",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",19,"Dhruva Abhaisingh","Xcell Jiu-Jitsu Academy",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",20,"James Martin Chancey","Rodrigo Pinheiro BJJ",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",21,"Benjamin P Dall","TAC Team BJJ",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",22,"Paul Vang","Alliance",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",23,"Ryne Logan Yoshimura","Nova União",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",24,"Kohlby Anthony Hollingsworth","SBG International (SBGI)",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",25,"Eduardo Joel Carrasquillo","Fabin Rosa Brazilian Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",26,"Patrick Thomas Kelly","CheckMat",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",27,"Steven K Dailey","Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",28,"Stephen Adam Rodriguez","Daniel Tavares Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",29,"Raza Abbas Kazmi","R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",30,"Pedro Rafael Lopes Loureiro","Associação Pantera House Jiu-jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",31,"Oscar Estuardo C Marin","Alliance Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",32,"Nicholas Spencer Johnson","McVicker's Brazilian Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",33,"Miguel J Diaz","Renzo Gracie Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",34,"Michael H A Stoller","Fredson Paixao BJJ Las Vegas",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",35,"Mauricio Antonio Reis Filho","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",36,"Mario Andres Larrea","Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",37,"Marco Antonio Pacheco Jr","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",38,"Jason Arreola","One Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",39,"Brandon Khalil","Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",40,"Anthony Joseph Steinebach","Soul Fighters BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",41,"Allen Youngjun Bahng","Legion American Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Feather",42,"Aleksandr Ustimenko","Senna Fight Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",1,"Felipe Linhares Arruda","Alliance",297,446,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",2,"Silvio Duran de Barros Saraiva","Nova União",122,417,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",3,"Esdras Félix Bezerra Júnior","Ares BJJ",83,305,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",4,"Kevin Wheeler","Cicero Costha Internacional",42,42,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",5,"Eduardo Micael Bastezini","Gracie Barra",36,63,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",6,"Gabriel Marangoni de Oliveira","Brasa CTA",21,97,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",7,"Suraj Kumar Budhram","Fight Sports",21,50,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",8,"Ermilio Lucas Ferreira Lima","Soul Fighters BJJ",19,253,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",9,"Samir José Chantre Dahás","Ares BJJ",12,52,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",10,"Thiago da Rocha Gomes Calixto","Atos Jiu-Jitsu",0,180,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",11,"Maurício Faleta Fernandes","Nova União",0,82,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",12,"Jordan Tomas Gomez","Free World Jiu-Jitsu",0,72,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",13,"Thiago Cintra Vieira Brito","G13 BJJ USA",0,66,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",14,"Ramsey Kevin Green","Ares/Phoenix BJJ",0,48,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",15,"Nicolas Ignacio Ponce Gallegos","Cicero Costha Internacional",0,45,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",16,"Brandon Woodly Walensky","Gracie Allegiance",0,25,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",17,"Charles Denny Murdock","Pedigo Submission Fighting",0,24,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",18,"Mayko de Araujo Girotto Borges","CheckMat",0,19,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",19,"Marcos Augusto O Rodrigues Frois","RMNU Team",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",20,"Kevin Melendrez","Caveirinha Jiu-Jitsu Family USA",0,8,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",21,"Eric Joseph Ceballos","Cleber Jiu-Jitsu Visalia",0,6,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",22,"Christopher Jordan Hendrix","Aspire To Inspire",0,4,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",23,"Gerson Atoigue","Lotus Club USA",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",24,"Anarbol Isai Arratia","One Jiu-Jitsu USA",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",25,"Ryan Jennerjohn","Black Diamond BJJ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",26,"Pavel Tyutyunnik","Jiu-Jitsu For Life Team",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",27,"Oliver James De Vera Cruz","TAC Team BJJ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",28,"Munkhbayar Altantugs","Equilibrium Mixed Martial Arts",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",29,"Konapiliahi Kekoa Porras Ragsdale","Maui Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",30,"Felipe H Desouza Simplicio","Atos Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",31,"Eduardo Martin Sandoval","Cascao Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Feather",32,"Daniel Alejandro Salazar Villanueva","De La Riva International",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",1,"Michael Anthony Tai","Unity Jiu-jitsu",21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",2,"Kenneth Earl Jackson Jr ","Team Doan",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",3,"Samir El Khomsi","De La Riva International",6,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",4,"Nemezio O Lopezperez","Legion American Jiu-Jitsu",0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",5,"Angel Emmanuel Peralta Contreras","Cascao Jiu-Jitsu",0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",6,"Mark Christopher Hamm","Lovato Jiu-Jitsu",0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",7,"Jeffery Michael Parkhurst","Brazilian Top Team",0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",8,"Gabriel Paul Ephithite","Lucero Jiu Jitsu Academy",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",9,"Fabio Henrique Kassai de Oliveira","Atos Jiu-Jitsu",0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",10,"Devon Marsden O Neal","Coachella Valley BJJ",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",11,"Yuta Asano Tamura","Alliance",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",12,"Jose Felipe Villavicencio Pena","Double Five",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",13,"Kyle James McIntosh","Sim Go Academy",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",14,"Trevor James Hughes","Cascao BJJ Las Vegas",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",15,"Shawn Laljit","Gregor Gracie Jiu-Jitsu",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",16,"Eder Alexander Rodas","Pedigo Submission Fighting",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",17,"Christopher Michael Boudreaux","Team Jucão",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",18,"Thomas Lyle Adamson","Team Link Utah",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",19,"Richie Sothavie Touch","CheckMat",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",20,"Kevin Vu Nguyen","Six Blades Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",21,"Joseph Scott Pennypacker","R1NG BJJ",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",22,"Timothy Kenneth Arndt","GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",23,"Sergio Reyes","Fight Sports",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",24,"Sean David Landeta","Soul Fighters BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",25,"Ryan Christopher McKey","Top Dawg BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",26,"Richard Anthony Davis","Caveirinha Jiu-Jitsu Family USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",27,"Ricardo Antonio García Madrid","GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",28,"Philip Thomas Raia","Team Domingos LV",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",29,"Nicholas Truong Nguyen","Atos JJ International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",30,"Ngoc Nguyen Duong","Checkmat Buena Park",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",31,"Munkhtulga O Chimedbadam","Mongolian BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",32,"Muhamed Mehmedovic","CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",33,"Michael Bates","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",34,"Matthew Menawa Davis","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",35,"Mark Messay Ellis","Flux MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",36,"Marcos Andre Garcia Junior","Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",37,"Manuelito Gil Ocanada Molion","Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",38,"Luke Stanley Gorczyca","Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",39,"Kody Michael Lane","Swampfox Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",40,"Kanaluokalae Ryan Isao Kiyan","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",41,"Joshua Louis Warrick","A-Force Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",42,"Joseph George Hammond Jr ","Super System BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",43,"John Manuel Silvacontreras","Cassio Werneck BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",44,"James ES Wagner lll","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",45,"Hurneet Singh","Unity Jiu-jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",46,"Enrique Paul Solis","Phenom Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",47,"Dezmond King McCowan","Infight USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",48,"Daniel Alejandro Osorio","Jiu-Jitsu For Life Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",49,"Craig Thomas Richman","Kiko France BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",50,"Collin Joseph Goldsmith","SAS Team USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",51,"Christopher Eric Kaucher","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",52,"Christopher Colton Ryan Flippo","Team Shawn Hammonds",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",53,"Christopher Ace Chico","Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",54,"Brent Koji Llaneza","Mano Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",55,"Blake Manalisay","Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light",56,"Bilguun Rentsenpurev","Mongolian BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light",1,"Eduardo Medeiros dos Santos","Academia SBA Sylvio Behring",108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light",2,"John Patrick Mulhern","Six Blades Jiu-Jitsu",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light",3,"Tyler Wade Hayes","Phantom Brazilian Jiu-Jitsu",21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
