"division","gender","belt","weight","place","Name","winnerGym"
"Master 7","Male","BROWN","Open Class",1,"David Eugene Brown","Ground Dwellers"
"Master 7","Male","BROWN","Open Class",2,"Richard William Jones","Vicente Jr. Team"
"Master 7","Male","BROWN","Open Class",3,"Helcio Augusto Cesar Pinheiro","Carlson Gracie Team"
"Master 7","Male","BROWN","Open Class",3,"Gabriel John Austin","MyBJJ Team"
"Master 7","Male","BLACK","Light Feather",1,"Pablo Luis Arroyo","Nova União"
"Master 7","Male","BLACK","Feather",1,"Ronaldo Delibero","Fight Sports"
"Master 7","Male","BLACK","Feather",2,"Igor Dominguez Andrade","Gracie Barra"
"Master 7","Male","BLACK","Feather",3,"Frank Anthony Miranda","BARBOSA JIU-JITSU USA"
"Master 7","Male","BLACK","Feather",3,"Richard J Byrne","BJJ - Mushin"
"Master 7","Male","BLACK","Light",1,"Perry Ronald Bateson","N.W.  Jiu-Jitsu Academy - Maple Ridge"
"Master 7","Male","BLACK","Light",2,"Kouichi Kamitanida","Newaza World Sakurajima"
"Master 7","Male","BLACK","Light",3,"Daniel Cullen Daly","Synergy Brazilian Jiu Jitsu"
"Master 7","Male","BLACK","Light",3,"Sean P Burke","American Top Team"
"Master 7","Male","BLACK","Middle",1,"Gustavo Guadalupe Enriquez","Infinite Jiu Jitsu"
"Master 7","Male","BLACK","Middle",2,"Robert John Plaszcz","RMNU Team"
"Master 7","Male","BLACK","Middle",3,"Harry Porcher","Renato Tavares Association"
"Master 7","Male","BLACK","Middle",3,"Joseph Mark Solorio","Nova União"
"Master 7","Male","BLACK","Medium Heavy",1,"Joseph Thompson","R1NG BJJ"
"Master 7","Male","BLACK","Medium Heavy",2,"Douglas Afonso DAnna","Marco Nascimento BJJ"
"Master 7","Male","BLACK","Medium Heavy",3,"Matthew Clyde Grant","Higher Ground BJJ"
"Master 7","Male","BLACK","Medium Heavy",3,"Shaun Donald Holmstrom","Zenith BJJ"
"Master 7","Male","BLACK","Heavy",1,"Brian Carl Germain","Fabio Novaes BJJ"
"Master 7","Male","BLACK","Heavy",2,"Terry Slutsky","Gracie Barra"
"Master 7","Male","BLACK","Heavy",3,"David Frech","Brazil Academy USA"
"Master 7","Male","BLACK","Heavy",3,"Helvecio Augusto Moreira Penna Neto","Carlson Gracie Team"
"Master 7","Male","BLACK","Super Heavy",1,"Gay Elgin Cobham","De La Riva International"
"Master 7","Male","BLACK","Super Heavy",2,"Celso Koetz Junior","Magoo JJ"
"Master 7","Male","BLACK","Super Heavy",3,"Nicholas DelTufo","Jiu-Jitsu For The People - Sheridan BJJ"
"Master 7","Male","BLACK","Super Heavy",3,"Dennis J Melone","Rising Sun BJJ"
"Master 7","Male","BLACK","Ultra Heavy",1,"Philip G Rinaldi","American Top Team"
"Master 7","Male","BLACK","Ultra Heavy",2,"Jay Hunsucker","The Jiu-Jitsu Academy"
"Master 1","Female","BLUE","Rooster",1,"Stephanie Leigh Cruz","Park West BJJ"
"Master 1","Female","BLUE","Rooster",2,"Jenny Vo","Brasa CTA"
"Master 1","Female","BLUE","Rooster",3,"Rebecca Dawn Koller","Alliance"
"Master 1","Female","BLUE","Rooster",3,"Alejandra Gomez","Alliance International"
"Master 1","Female","BLUE","Light Feather",1,"Breann Michelle Hart","Team Jucão"
"Master 1","Female","BLUE","Light Feather",2,"Hazel Mary Byrne","Unified Jiu Jitsu"
"Master 1","Female","BLUE","Light Feather",3,"Katie Marie Hart","GF Team"
"Master 1","Female","BLUE","Light Feather",3,"Iris Clarisse M M Béatrice de Villars","Sacamp"
"Master 1","Female","BLUE","Feather",1,"Lina Lettie Grosset","Barbosa Jiu-Jitsu Paris"
"Master 1","Female","BLUE","Feather",2,"Brett Ashton Loper","Alliance"
"Master 1","Female","BLUE","Feather",3,"Kristina Marie Baja Malasig","Alliance International"
"Master 1","Female","BLUE","Feather",3,"Leesa Ella Carter","American Jiu-Jitsu Syndicate"
"Master 1","Female","BLUE","Light",1,"Katelyn Maureen Hunter","Gracie Barra"
"Master 1","Female","BLUE","Light",2,"Marisa Celeste Mercier","Unified Jiu Jitsu"
"Master 1","Female","BLUE","Light",3,"Larissa Antunes","Lotus Club USA"
"Master 1","Female","BLUE","Light",3,"Samantha Megan Hattlestad","Gracie Barra"
"Master 1","Female","BLUE","Middle",1,"Leilani Nao Aiko Akiyama","BARBOSA JIU-JITSU USA"
"Master 1","Female","BLUE","Middle",2,"Stephanie Anne Bryant","Renzo Gracie LA"
"Master 1","Female","BLUE","Middle",3,"Yasmin C Anders","SBG International (SBGI)"
"Master 1","Female","BLUE","Middle",3,"Lindsi Rochelle Griggs","Fifty/50 Jiu-Jitsu"
"Master 1","Female","BLUE","Medium Heavy",1,"Chelsey Elizabeth Moore","Atos Jiu-Jitsu"
"Master 1","Female","BLUE","Medium Heavy",2,"Danielle Marie Olafson","Luiz Palhares Jiu-Jitsu Europe"
"Master 1","Female","BLUE","Medium Heavy",3,"Annaliese Mai Heissler","Higashi Jiu Jitsu Canada"
"Master 1","Female","BLUE","Medium Heavy",3,"Graciela Ann Tabor","GF Team"
"Master 1","Female","BLUE","Heavy",1,"Kristine Michele Longeau","Renzo Gracie Ottawa"
"Master 1","Female","BLUE","Heavy",2,"Jessica Elizabeth Berry","Immersion Mixed Martial Arts"
"Master 1","Female","BLUE","Heavy",3,"Mallory Paige Coody","Roberto Traven BJJ"
"Master 1","Female","BLUE","Heavy",3,"Karissa Jean Walton","Mountain Tribe Brazilian Jiu-Jitsu"
"Master 1","Female","BLUE","Super Heavy",1,"Michea Louise Hall","Southside Brazilian Jiu-Jitsu"
"Master 1","Female","BLUE","Super Heavy",2,"Gessica Rinaldi de Oliveira","CheckMat"
"Master 1","Female","BLUE","Super Heavy",3,"Joanne Patricia Klebart","Six Blades Jiu-Jitsu"
"Master 1","Female","BLUE","Super Heavy",3,"Grace Chung","Cicero Costha Internacional"
"Master 1","Female","BLUE","Open Class",1,"Samantha Megan Hattlestad","Gracie Barra"
"Master 1","Female","BLUE","Open Class",2,"Yasmin C Anders","SBG International (SBGI)"
"Master 1","Female","BLUE","Open Class",3,"Annaliese Mai Heissler","Higashi Jiu Jitsu Canada"
"Master 1","Female","BLUE","Open Class",3,"Larissa Antunes","Lotus Club USA"
"Master 1","Female","PURPLE","Rooster",1,"Marilyn Matsumura Cruz","Baret Submissions USA"
"Master 1","Female","PURPLE","Rooster",2,"Bobbie Jo Ridenhour","Gracie Humaita"
"Master 1","Female","PURPLE","Rooster",3,"Thuyantrisha Tran Gertsma","Atos Jiu-Jitsu"
"Master 1","Female","PURPLE","Light Feather",1,"Loriane Pesarini","Fight Sports"
"Master 1","Female","PURPLE","Light Feather",2,"Denise Capaceta","Gracie Humaita"
"Master 1","Female","PURPLE","Light Feather",3,"Misty Stockhaus","Alliance"
"Master 1","Female","PURPLE","Light Feather",3,"Rebecca Camacho","GF Team"
"Master 1","Female","PURPLE","Feather",1,"Cassandra J Poyong","Team Buda International"
"Master 1","Female","PURPLE","Feather",2,"Leda Guadalupe Garcia","GF Team"
"Master 1","Female","PURPLE","Feather",3,"Camila Lopez","BJJ Revolution Team"
"Master 1","Female","PURPLE","Feather",3,"Jillian Louise Chalke","CheckMat"
"Master 1","Female","PURPLE","Light",1,"Kelsey Lynn Harrell","Alliance"
"Master 1","Female","PURPLE","Light",2,"Victoria Delgado","Alliance"
"Master 1","Female","PURPLE","Light",3,"Marit Tyssedal Gabrielsen","Frontline Academy"
"Master 1","Female","PURPLE","Light",3,"Martha Pemberton Heath","Artista Brazilian Jiu-Jitsu"
"Master 1","Female","PURPLE","Middle",1,"Erica Zendell","Carlson Gracie Team"
"Master 1","Female","PURPLE","Middle",2,"Fernanda  Pimental Araujo","Brazil 021 Boston"
"Master 1","Female","PURPLE","Middle",3,"Nina Kim","Brazilian Top Team"
"Master 1","Female","PURPLE","Middle",3,"Victoria Christina Dean","CXBJJ Academy"
"Master 1","Female","PURPLE","Medium Heavy",1,"Flavia N Silva","Fight Sports"
"Master 1","Female","PURPLE","Medium Heavy",2,"Catalina Favela","Sim Go Academy"
"Master 1","Female","PURPLE","Medium Heavy",3,"Alexandra Condado","Brazilian Top Team"
"Master 1","Female","PURPLE","Medium Heavy",3,"Amy Maria Palacios","Gracie Barra"
"Master 1","Female","PURPLE","Heavy",1,"Samira E B Silva","JJ4L"
"Master 1","Female","PURPLE","Heavy",2,"Deja Lashay Jackson","Nova União"
"Master 1","Female","PURPLE","Heavy",3,"Mary Margaret M Fox","Carlson Gracie Team"
"Master 1","Female","PURPLE","Super Heavy",1,"Nneamaka Olivia Obodoagha","Team Lloyd Irvin"
"Master 1","Female","PURPLE","Super Heavy",2,"Sewar  Abunuwar","GF Team"
"Master 1","Female","PURPLE","Super Heavy",3,"Sarah Aguilar Gilligan","Fairfax Jiu Jitsu"
"Master 1","Female","PURPLE","Super Heavy",3,"Brianne Marie Gomez","CheckMat"
"Master 1","Female","PURPLE","Open Class",1,"Victoria Delgado","Alliance"
"Master 1","Female","PURPLE","Open Class",2,"Fernanda  Pimental Araujo","Brazil 021 Boston"
"Master 1","Female","PURPLE","Open Class",3,"Martha Pemberton Heath","Artista Brazilian Jiu-Jitsu"
"Master 1","Female","PURPLE","Open Class",3,"Nina Kim","Brazilian Top Team"
"Master 1","Female","BROWN","Rooster",1,"Hope Marie Hollister","American Jiu-Jitsu Syndicate"
"Master 1","Female","BROWN","Rooster",2,"Phoebe Kate Gondales","Ares BJJ"
"Master 1","Female","BROWN","Rooster",3,"Stephanie Souza Penido","Gracie Barra"
"Master 1","Female","BROWN","Light Feather",1,"Lillian Tran","CheckMat"
"Master 1","Female","BROWN","Light Feather",2,"LaCatherine Transleau","Aviv Jiu-Jitsu"
"Master 1","Female","BROWN","Light Feather",3,"Samantha Lyn Schell","Rubao Carioca"
"Master 1","Female","BROWN","Light Feather",3,"Kaisa YliPaunu","Team Helsinki"
"Master 1","Female","BROWN","Feather",1,"Emily Rosalynn Nicholson","GF Team"
"Master 1","Female","BROWN","Feather",2,"Natalie Nicole Disimone","Six Blades Jiu-Jitsu"
"Master 1","Female","BROWN","Feather",3,"Kathleen Egan","One Jiu-Jitsu USA"
"Master 1","Female","BROWN","Feather",3,"Monique Maggessi Garcez","Double Five"
"Master 1","Female","BROWN","Light",1,"Katelyn Brooke Honeycutt","TAC Team BJJ"
"Master 1","Female","BROWN","Light",2,"Kelley Ann Quijano","Caique Jiu-Jitsu"
"Master 1","Female","BROWN","Light",3,"Melinda Hertig","GF Team"
"Master 1","Female","BROWN","Light",3,"Jessica Jean Sanchez","South Valley Jiu-Jitsu"
"Master 1","Female","BROWN","Middle",1,"Michelle Marques de Oliveira","Brazil 021 School of Jiu-Jitsu"
"Master 1","Female","BROWN","Middle",2,"Danielle Christine Baron","Alliance"
"Master 1","Female","BROWN","Middle",3,"Devin Leah Topping","Roberto Traven BJJ"
"Master 1","Female","BROWN","Medium Heavy",1,"Diana Ariste Rubio","De La Riva International"
"Master 1","Female","BROWN","Medium Heavy",2,"Lydia B Coleman","Notorious Mixed Martial Arts"
"Master 1","Female","BROWN","Medium Heavy",3,"Emily Gwen Bacher","GF Team"
"Master 1","Female","BROWN","Medium Heavy",3,"Elizabeth Ann Huddleston","Easton BJJ"
"Master 1","Female","BROWN","Heavy",1,"Danielle R Walker","GF Team"
"Master 1","Female","BROWN","Heavy",2,"Sharlene M Cairns","Carlson Gracie Team"
"Master 1","Female","BROWN","Heavy",3,"Alyssa Gayneille Arn","Team Jucão"
"Master 1","Female","BROWN","Heavy",3,"Jessica Lauren Ochab","Jiu-Jitsu For Life Team"
"Master 1","Female","BROWN","Super Heavy",1,"Luzimery de Fatima Alberto Garcia","GF Team"
"Master 1","Female","BROWN","Super Heavy",2,"Charlene Nicole Dixon","College Park Mixed Martial Arts"
"Master 1","Female","BROWN","Open Class",1,"Michelle Marques de Oliveira","Brazil 021 School of Jiu-Jitsu"
"Master 1","Female","BROWN","Open Class",2,"Devin Leah Topping","Roberto Traven BJJ"
"Master 1","Female","BROWN","Open Class",3,"Emily Gwen Bacher","GF Team"
"Master 1","Female","BROWN","Open Class",3,"Luzimery de Fatima Alberto Garcia","GF Team"
"Master 1","Female","BLACK","Rooster",1,"Amber RymarzFreitas","Smartjits"
"Master 1","Female","BLACK","Rooster",2,"Iori Echigo","Dragon's Den"
"Master 1","Female","BLACK","Rooster",3,"Serena Gabrielli","Flow"
"Master 1","Female","BLACK","Rooster",3,"Marina Bocciarelli","Tetris"
"Master 1","Female","BLACK","Light Feather",1,"Ann Marie Kneib","Gracie Humaita"
"Master 1","Female","BLACK","Light Feather",2,"Patrícia Maria N Fontes dos Santos","CheckMat"
"Master 1","Female","BLACK","Light Feather",3,"Fiona M Watson","Notorious Mixed Martial Arts"
"Master 1","Female","BLACK","Light Feather",3,"Juliana Cristina Longhi","Carlson Gracie Team"
"Master 1","Female","BLACK","Feather",1,"Tracey R Goodell","Free World Jiu-Jitsu"
"Master 1","Female","BLACK","Feather",2,"Anna Elizabeth Salome","Roberto Traven BJJ"
"Master 1","Female","BLACK","Feather",3,"Melissa Templeman","Ralph Gracie Jiu-Jitsu Berkeley"
"Master 1","Female","BLACK","Feather",3,"Thaís Gomes Teixeira","Carlson Gracie Team"
"Master 1","Female","BLACK","Light",1,"Luciane dos Santos Silva","CheckMat"
"Master 1","Female","BLACK","Light",2,"Lakyn Marie Bendle","Swampfox Jiu-Jitsu"
"Master 1","Female","BLACK","Light",3,"Alex Jennifer Barcelona","Ares BJJ"
"Master 1","Female","BLACK","Light",3,"Hannah Katharina Rauch","Gracie Humaita"
"Master 1","Female","BLACK","Middle",1,"Victoria Maciel Antelante","Ares BJJ"
"Master 1","Female","BLACK","Middle",2,"Andrea Natalia Ferdinand","CheckMat"
"Master 1","Female","BLACK","Middle",3,"Jessica Cristina C A dos Santos","T3MA"
"Master 1","Female","BLACK","Middle",3,"Margherita Montes","Cicero Costha Internacional"
"Master 1","Female","BLACK","Medium Heavy",1,"Elizabeth Katherine Mitrovic","Alliance"
"Master 1","Female","BLACK","Medium Heavy",2,"Luciana Mota Castelo Branco","Alliance"
"Master 1","Female","BLACK","Medium Heavy",3,"Caitlin Huggins","Pedigo Submission Fighting"
"Master 1","Female","BLACK","Medium Heavy",3,"Tara Giovanna White","CheckMat"
"Master 1","Female","BLACK","Heavy",1,"Melissa Stricker Cueto","Alliance"
"Master 1","Female","BLACK","Heavy",2,"Maria Malyjasiak","Abmar Barbosa Association"
"Master 1","Female","BLACK","Heavy",3,"Jessica D Flowers","Gracie Barra"
"Master 1","Female","BLACK","Super Heavy",1,"Emilly Alves Silva","Atos Jiu-Jitsu"
"Master 1","Female","BLACK","Super Heavy",2,"Alison Victoria Tremblay","Brazilian Top Team"
"Master 1","Female","BLACK","Super Heavy",3,"Mayara Monteiro Custódio","CheckMat"
"Master 1","Female","BLACK","Super Heavy",3,"Michelle Welti","Big Brothers"
"Master 1","Female","BLACK","Open Class",1,"Melissa Stricker Cueto","Alliance"
"Master 1","Female","BLACK","Open Class",2,"Tracey R Goodell","Free World Jiu-Jitsu"
"Master 1","Female","BLACK","Open Class",3,"Thaís Gomes Teixeira","Carlson Gracie Team"
"Master 1","Female","BLACK","Open Class",3,"Mayara Monteiro Custódio","CheckMat"
"Master 2","Female","BLUE","Rooster",1,"Aislinn Melissa Fletcher","Roger Gracie Academy Texas"
"Master 2","Female","BLUE","Rooster",2,"Kayoko Ozaki","Tribe Tokyo MMA"
"Master 2","Female","BLUE","Light Feather",1,"Gina Leigh Baxter","Rodrigo Pinheiro BJJ"
"Master 2","Female","BLUE","Light Feather",2,"Hikari Takahashi Sutton","T3MA"
"Master 2","Female","BLUE","Light Feather",3,"Marianela Griguela","Gracie Barra"
"Master 2","Female","BLUE","Light Feather",3,"Migdalia Martinez","Notorious Mixed Martial Arts"
"Master 2","Female","BLUE","Feather",1,"Miriam Lizeth M Leon","Six Blades Jiu-Jitsu"
"Master 2","Female","BLUE","Feather",2,"Arlan Susan Athene Hall","Paragon BJJ Academy"
"Master 2","Female","BLUE","Feather",3,"Carolina Torica","ECJJA"
"Master 2","Female","BLUE","Feather",3,"Lisa Ann Bourke","RMNU Team"
"Master 2","Female","BLUE","Light",1,"Annika Lorelei GodinGreen","Chapel Hill Team Roc"
"Master 2","Female","BLUE","Light",2,"Jillian Elizabeth Diggins","Cicero Costha Internacional"
"Master 2","Female","BLUE","Light",3,"Dara Maria Ching","Atos Jiu-Jitsu"
"Master 2","Female","BLUE","Light",3,"Sarah J Choleva","GF Team"
"Master 2","Female","BLUE","Middle",1,"Christel Lynn Little","Oneonta Jiu-Jitsu Academy"
"Master 2","Female","BLUE","Middle",2,"Paige Elizabeth Mercurio","Renzo Gracie Houston"
"Master 2","Female","BLUE","Middle",3,"Jessica Emma Sanchez","Notorious Mixed Martial Arts"
"Master 2","Female","BLUE","Middle",3,"Sara Ashley Kanag","Six Blades Jiu-Jitsu"
"Master 2","Female","BLUE","Medium Heavy",1,"Kelly Christine Leleux","Armada Jiu-Jitsu Academy"
"Master 2","Female","BLUE","Medium Heavy",2,"Suzan Quynh Pham","Aspire To Inspire"
"Master 2","Female","BLUE","Medium Heavy",3,"SheynaMarie K Chang","Cascao Jiu-Jitsu"
"Master 2","Female","BLUE","Medium Heavy",3,"Frances Margaret Nilsen","Cary Brazilian Jiu-Jitsu"
"Master 2","Female","BLUE","Heavy",1,"Erin Eileen Conboy","Team James Clingerman"
"Master 2","Female","BLUE","Heavy",2,"Rebekah Lynn Ketchens","Alliance"
"Master 2","Female","BLUE","Heavy",3,"Elizabeth Rose Conquest","R1NG BJJ"
"Master 2","Female","BLUE","Heavy",3,"Marie Elizabeth Ellensohn","Fighteria Academy"
"Master 2","Female","BLUE","Super Heavy",1,"Nathalie Victoria Benes","Fabio Prado BJJ"
"Master 2","Female","BLUE","Super Heavy",2,"Elizabeth Cosme","Carlson Gracie Team"
"Master 2","Female","BLUE","Super Heavy",3,"Joann Perez Gutierrez","Brazilian Top Team"
"Master 2","Female","BLUE","Super Heavy",3,"Maritza Flores","Phenom Brazilian Jiu-Jitsu"
"Master 2","Female","BLUE","Open Class",1,"Miriam Lizeth M Leon","Six Blades Jiu-Jitsu"
"Master 2","Female","BLUE","Open Class",2,"Christel Lynn Little","Oneonta Jiu-Jitsu Academy"
"Master 2","Female","BLUE","Open Class",3,"Rebekah Lynn Ketchens","Alliance"
"Master 2","Female","BLUE","Open Class",3,"Kelly Christine Leleux","Armada Jiu-Jitsu Academy"
"Master 2","Female","PURPLE","Rooster",1,"Ai Jin Lee","Team Buda International"
"Master 2","Female","PURPLE","Rooster",2,"Chau Manalansan","Rilion Gracie"
"Master 2","Female","PURPLE","Rooster",3,"Federica DAmelio","Lilius Barnatt Martial Arts"
"Master 2","Female","PURPLE","Light Feather",1,"Alyssa Rebecca Lauron Walls","Yemaso Brazilian Jiu-Jitsu"
"Master 2","Female","PURPLE","Light Feather",2,"Natasha K Ranasinghe","Arashiro Team"
"Master 2","Female","PURPLE","Light Feather",3,"Brittany Hollie White","Alliance"
"Master 2","Female","PURPLE","Light Feather",3,"Yvette Amador Wong","One Jiu-Jitsu USA"
"Master 2","Female","PURPLE","Feather",1,"Katherine Lynne Rangel","Rilion Gracie"
"Master 2","Female","PURPLE","Feather",2,"Julia Christine Backs","Ralph Gracie Jiu-Jitsu Berkeley"
"Master 2","Female","PURPLE","Feather",3,"Jennifer June Cox","Carlson Gracie Team"
"Master 2","Female","PURPLE","Feather",3,"Gabriela Gerizani","Legacy"
"Master 2","Female","PURPLE","Light",1,"Kendra Kay Pearson","Six Blades Jiu-Jitsu"
"Master 2","Female","PURPLE","Light",2,"Virginia Rae Herzog","Diego Herzog BJJ"
"Master 2","Female","PURPLE","Light",3,"Kristen M Oteri","Fight Sports"
"Master 2","Female","PURPLE","Light",3,"Dana E Stein","Easton BJJ"
"Master 2","Female","PURPLE","Middle",1,"Holly Hazard Campbell","Gracie Barra"
"Master 2","Female","PURPLE","Middle",2,"Megan Renee Denys","Gracie Humaita"
"Master 2","Female","PURPLE","Middle",3,"Lauren Monica Cox","Diego Herzog BJJ"
"Master 2","Female","PURPLE","Middle",3,"Jessica Nicole Baker","Six Blades Jiu-Jitsu"
"Master 2","Female","PURPLE","Medium Heavy",1,"Kimberle Ann Cratsenberg","G13 BJJ USA"
"Master 2","Female","PURPLE","Medium Heavy",2,"Sabrina Felker","Gracie Barra"
"Master 2","Female","PURPLE","Medium Heavy",3,"Carla Barbosa Queiroz Leal","GF Team"
"Master 2","Female","PURPLE","Medium Heavy",3,"Giulia Frederica Chen","Renzo Gracie Academy"
"Master 2","Female","PURPLE","Heavy",1,"Simone de Abreu Pinheiro","CheckMat"
"Master 2","Female","PURPLE","Heavy",2,"Courtney Teresa Anaya","Ruffhouse"
"Master 2","Female","PURPLE","Heavy",3,"Taliya R Hooks","GF Team"
"Master 2","Female","PURPLE","Heavy",3,"Rackel Acatauassu Alves Correa","Constrictor Team"
"Master 2","Female","PURPLE","Super Heavy",1,"Lyndsie Maurene Hauck","Absolute Behring"
"Master 2","Female","PURPLE","Super Heavy",2,"Krista Kay Adkins","A-Force Brazilian Jiu-Jitsu"
"Master 2","Female","PURPLE","Super Heavy",3,"Caroline LemosMarques","GF Team"
"Master 2","Female","PURPLE","Super Heavy",3,"Catalina Mojarro","CheckMat"
"Master 2","Female","PURPLE","Open Class",1,"Simone de Abreu Pinheiro","CheckMat"
"Master 2","Female","PURPLE","Open Class",2,"Lyndsie Maurene Hauck","Absolute Behring"
"Master 2","Female","PURPLE","Open Class",3,"Dana E Stein","Easton BJJ"
"Master 2","Female","PURPLE","Open Class",3,"Kimberle Ann Cratsenberg","G13 BJJ USA"
"Master 2","Female","BROWN","Rooster",1,"Marcella Alvarenga Bastos","Double Five"
"Master 2","Female","BROWN","Rooster",2,"Vanessa M Rodriguez","Nova União"
"Master 2","Female","BROWN","Rooster",3,"Carla Magali Baldan","Playa Venao BJJ"
"Master 2","Female","BROWN","Rooster",3,"Laura Tran","Atos Jiu-Jitsu"
"Master 2","Female","BROWN","Light Feather",1,"Marné Ann Chiccarelli","CheckMat"
"Master 2","Female","BROWN","Light Feather",2,"Jossimara Azevedo Braga","Alliance"
"Master 2","Female","BROWN","Light Feather",3,"Natasha Valentine","London Grapple - Ross Nicholls"
"Master 2","Female","BROWN","Light Feather",3,"Haruka Nakajima","MBCJJ - Mark Bradford Clube de Jiu-Jitsu"
"Master 2","Female","BROWN","Feather",1,"Amanda Regina Brown","Alliance"
"Master 2","Female","BROWN","Feather",2,"Karla Vanessa Shellhammer","CheckMat"
"Master 2","Female","BROWN","Feather",3,"Zenayda Azucena Ruiz","Atos Jiu-Jitsu"
"Master 2","Female","BROWN","Feather",3,"Erin Akemi Millard","Esaki Jiu-Jitsu Academy"
"Master 2","Female","BROWN","Light",1,"Erica Jeanette Barnes","Six Blades Jiu-Jitsu"
"Master 2","Female","BROWN","Light",2,"Amanda Marie Riggs","Crazy 88"
"Master 2","Female","BROWN","Light",3,"Yekaterina Shikhirina","TAC Team BJJ"
"Master 2","Female","BROWN","Light",3,"Mei Linn Park","Alliance"
"Master 2","Female","BROWN","Middle",1,"Daniela Alfaro Stivalet","CR Team"
"Master 2","Female","BROWN","Middle",2,"Celeste Rushell Gage","Gracie Humaita"
"Master 2","Female","BROWN","Middle",3,"Maria Estella Rios","Brazil 021 School of Jiu-Jitsu"
"Master 2","Female","BROWN","Middle",3,"Franziska Malischewski","Brasa CTA"
"Master 2","Female","BROWN","Medium Heavy",1,"Brittany Leigh Senter","Yamasaki Academy"
"Master 2","Female","BROWN","Medium Heavy",2,"Rebecca Mary Annan","Sorriso BJJ Club"
"Master 2","Female","BROWN","Medium Heavy",3,"Amanda Lynn Toups","Renzo Gracie Mont Belvieu"
"Master 2","Female","BROWN","Medium Heavy",3,"Emily C McGivern","Burlington BJJ"
"Master 2","Female","BROWN","Heavy",1,"Desirèe B da Silva Favoreto","Alliance"
"Master 2","Female","BROWN","Heavy",2,"Kamila Mucida Paranhos","Fratres Brazilian Jiu Jitsu"
"Master 2","Female","BROWN","Heavy",3,"Saidah Zeinab Durkee","Team Lloyd Irvin"
"Master 2","Female","BROWN","Heavy",3,"Krystal Joy McKenzie","Atliens Odyssey"
"Master 2","Female","BROWN","Super Heavy",1,"Kristina LeeAnn Freeman","N.W.  Jiu-Jitsu Academy - Maple Ridge"
"Master 2","Female","BROWN","Super Heavy",2,"Salua Silva Borges","Zenith BJJ"
"Master 2","Female","BROWN","Super Heavy",3,"Samantha Renee Dean","Sabre Jiu-Jitsu Academy"
"Master 2","Female","BROWN","Super Heavy",3,"Jamie Graham","Rodrigo Pinheiro BJJ"
"Master 2","Female","BROWN","Open Class",1,"Desirèe B da Silva Favoreto","Alliance"
"Master 2","Female","BROWN","Open Class",2,"Emily C McGivern","Burlington BJJ"
"Master 2","Female","BROWN","Open Class",3,"Kamila Mucida Paranhos","Fratres Brazilian Jiu Jitsu"
"Master 2","Female","BROWN","Open Class",3,"Krystal Joy McKenzie","Atliens Odyssey"
"Master 2","Female","BLACK","Feather",1,"Mariana Azevedo","Gracie Barra"
"Master 2","Female","BLACK","Feather",2,"Hillary E Witt","Inverted Gear Academy"
"Master 2","Female","BLACK","Feather",3,"Kaitlin Wonder","Ares BJJ"
"Master 2","Female","BLACK","Feather",3,"Rachel Michelle Nelson","RMNU Team"
"Master 2","Female","BLACK","Light",1,"Erica Alicia Santana","One Jiu-Jitsu USA"
"Master 2","Female","BLACK","Light",2,"Melissa Bentley","Renato Tavares Association"
"Master 2","Female","BLACK","Light",3,"Amanda Yuki Grummon","Gracie Barra"
"Master 2","Female","BLACK","Light",3,"Mary Wildner","Legacy"
"Master 2","Female","BLACK","Middle",1,"Heather Nanatte Woods","Atos Jiu-Jitsu"
"Master 2","Female","BLACK","Middle",2,"Yanelisa Reyes","Jiu-Jitsu For The People - Sheridan BJJ"
"Master 2","Female","BLACK","Middle",3,"Joice Tavares Viana","Double Five"
"Master 2","Female","BLACK","Medium Heavy",1,"Amanda R Clifton","TAC Team BJJ"
"Master 2","Female","BLACK","Medium Heavy",2,"Mariana Magalhães","Otávio de Almeida"
"Master 2","Female","BLACK","Medium Heavy",3,"Carly Michael Rangel","Zenith BJJ"
"Master 2","Female","BLACK","Medium Heavy",3,"Erica Ilana Ebanks","Fabio Novaes BJJ"
"Master 2","Female","BLACK","Heavy",1,"Amanda Magda de Oliveira","Fratres Brazilian Jiu Jitsu"
"Master 2","Female","BLACK","Heavy",2,"Kimberly Ann Bowser","EDJ School of Jiu-Jitsu"
"Master 2","Female","BLACK","Heavy",3,"Karoline Von D Martins Teixeira","Gracie Humaita"
"Master 2","Female","BLACK","Heavy",3,"Tracy Dyan Darcy","RCJ Machado"
"Master 2","Female","BLACK","Super Heavy",1,"Jennifer A Case","Renato Tavares Association"
"Master 2","Female","BLACK","Super Heavy",2,"Talita Andrea Nogueira","Vilanova Brazilian Jiu-Jitsu"
"Master 2","Female","BLACK","Super Heavy",3,"Patricia Nicole VanderMeer","Zenith BJJ"
"Master 2","Female","BLACK","Super Heavy",3,"Jonna Karoliina Konivuori","Loop Jiu-Jitsu"
"Master 2","Female","BLACK","Open Class",1,"Jennifer A Case","Renato Tavares Association"
"Master 2","Female","BLACK","Open Class",2,"Amanda Magda de Oliveira","Fratres Brazilian Jiu Jitsu"
"Master 2","Female","BLACK","Open Class",3,"Yanelisa Reyes","Jiu-Jitsu For The People - Sheridan BJJ"
"Master 2","Female","BLACK","Open Class",3,"Kimberly Ann Bowser","EDJ School of Jiu-Jitsu"
"Master 3","Female","BLUE","Rooster",1,"Richelle Carrie Takemoto","Oneonta Jiu-Jitsu Academy"
